comments	dye	buffer too bad?	reject_buffer	maxed_out	protein_sensitive	Exp0521--NHR32LBD	Ds00009--0p01_TritonX100_in_P1	Ds00010--Hsp72_SBD	Ds00011--Tau_P301S	Exp0468--eIF2B_no_ISIB	Exp0469--eIF2B_with_ISRIB	Exp0486--Jdomain	Exp0497--Hsp60	Exp0503--FKBP12	Exp0507--Hsc70	Exp0595--ACD_domain_protein6	Exp0596--H104-FL-B5-pre-inc_protein5	Exp0598--FL-B5-pre-inc_protein2	Exp0610--B5_with_zinc	Exp0615--BSA	Exp0616--FKBP12	Exp0618--OLF	Exp0619--PPIE	Exp0620--NPAS2_PAS-A	Exp0621--PER2_PAS-AB_wt	Exp0622--CLOCK_PASB_W362A	Exp0623--CP_BMAL1_PASB_W427A	Exp0624--HisPER2_AB_I324N	Exp0625--CP581_CBPKIX	Exp0626--CP547_p300_KIX	Exp0627--HisSUMO	Exp0628--Hsp10	Exp0629--HisGB1	Exp0630--Hsp60	Exp0650--His_NusA	Exp0671--GS_WT	Exp0672--GS_R341C	Exp0673--GS_324S	Exp0674--GS_324C	Exp0701--B5-pre-inc_phosphomim_protein_4	Exp0707--DDM_buffer	Exp0710--Nucleosome	Exp0723--Retinoic_acid_receptor_alpha	Exp0727--Snf2h_dye_screen	Exp0729--Tau_mi_diamond_10uM	Exp0730--Tau_ms_diamond	Exp0731--OGlcNacTransferase	Exp0732--Widom_601_DNA	Exp0734--Tau_mi_diamond_1uM	Exp0535--free_aas_mix1_G	Exp0535--free_aas_mix2_CMLRG	Exp0535--free_aas_mix3_DESNQ	Exp0535--free_aas_mix4_AVILP	Exp0535--free_aas_mix5_FYWTH
0	A001	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0	A002	0	FALSE	FALSE	FALSE	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	2	2	1	0	0	0	0	0	0	0	2	0	0	0	0
seems nonsepcific to melting 	A003	0	FALSE	FALSE	FALSE	1	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0
0	A004	0	FALSE	FALSE	FALSE	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	A005	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	A006	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	A007	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0
0	A008	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dim	A009	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	2	0	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0
"buffer bad, consider removing though there are occaisonal hits"	A010	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	0	0	1	1	2	2	0	0	0	0	0	1	1	2	2	2	2	1	2	2	1	1	1	0	1	1	2	0	0	0	0
0	A011	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"buffer bad, consider removing though there are occaisonal hits"	A012	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	A013	0	FALSE	FALSE	FALSE	2	0	0	0	0	0	2	1	2	1	0	0	0	2	2	2	1	1	2	0	1	1	1	0	0	2	0	1	1	1	1	1	1	1	0	1	2	2	2	0	0	1	1	0	0	0	0	0	0
0	A014	0	FALSE	FALSE	FALSE	1	0	0	0	2	2	2	1	2	1	2	2	2	2	2	2	1	1	1	0	1	1	1	0	0	2	0	2	1	1	1	1	1	1	2	1	2	1	2	2	0	1	1	0	0	0	0	0	0
some buffer problems but good transitions	A015	0	FALSE	FALSE	FALSE	2	0	0	0	2	2	0	1	2	1	0	0	0	0	2	2	1	2	1	2	1	1	1	0	0	0	0	0	1	1	1	1	1	1	2	1	2	2	0	0	0	2	1	0	0	0	0	0	0
0	A016	0	FALSE	FALSE	FALSE	2	0	0	0	2	2	0	1	0	1	0	2	0	0	2	0	2	1	1	0	1	2	1	0	0	0	0	0	1	1	1	1	1	1	0	1	2	1	1	2	0	1	2	0	0	0	0	0	0
bad buffer	A017	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
bad buffer	A018	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bad buffer	A019	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	A020	0	FALSE	FALSE	FALSE	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	2	1	1	1	1	1	1	2	1	2	2	0	0	0	0	1	0	0	0	0	0	0
"weird buffer, maybe enough to reject?"	A021	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	2	0	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	0	1	2	0	0	0	0	0	0	0	2	2	2	2	2
weird FAM buffer	A022	0	FALSE	FALSE	FALSE	1	0	0	0	2	2	0	1	2	1	0	0	0	0	0	0	1	1	1	2	1	1	1	0	0	0	0	0	1	1	1	1	1	1	2	1	2	2	1	0	0	1	1	0	0	0	0	0	0
0	A023	0	FALSE	FALSE	FALSE	0	0	0	2	2	2	0	1	2	1	2	2	2	2	2	2	2	0	0	2	0	0	1	2	2	2	2	2	1	0	2	0	2	0	2	1	0	1	2	2	0	2	2	2	0	0	0	0	0
0	A024	0	FALSE	FALSE	FALSE	1	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	1	1	1	2	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	2	2	0	0	0	2	1	0	0	0	0	0	0
weird FAM buffer	A025	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	AW131	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0	AW132	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
0	AW134	0	FALSE	FALSE	FALSE	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	2	1	1	0	0	0	0	0
weird/bad buffer but some interesting behaviors	C001	-1	FALSE	FALSE	TRUE	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
